code,character,translation,issue_type,category,char_name,trans_name,accept
U+006C3F,氿,狹,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6C3F,CJK UNIFIED IDEOGRAPH-72F9,
U+006C5C,汜,脅,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6C5C,CJK UNIFIED IDEOGRAPH-8105,
U+006C6F,汯,莢,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6C6F,CJK UNIFIED IDEOGRAPH-83A2,
U+006C86,沆,脇,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6C86,CJK UNIFIED IDEOGRAPH-8107,
U+006CDA,泚,鋏,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6CDA,CJK UNIFIED IDEOGRAPH-92CF,
U+006D04,洄,頰,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6D04,CJK UNIFIED IDEOGRAPH-9830,
U+006D6F,浯,兄,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6D6F,CJK UNIFIED IDEOGRAPH-5144,
U+006D87,涇,亨,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-6D87,CJK UNIFIED IDEOGRAPH-4EA8,
U+007195,熕,□,square,한자 → 기타,CJK UNIFIED IDEOGRAPH-7195,WHITE SQUARE,
U+007F52,罒,,different,삭제됨 (빈 문자열),CJK UNIFIED IDEOGRAPH-7F52,N/A,
U+008A51,詑,わ,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-8A51,HIRAGANA LETTER WA,
U+009357,鍗,鎬,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9357,CJK UNIFIED IDEOGRAPH-93AC,
U+0093A4,鎤,頀,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-93A4,CJK UNIFIED IDEOGRAPH-9800,
U+0093C6,鏆,顥,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-93C6,CJK UNIFIED IDEOGRAPH-9865,
U+0093DE,鏞,惑,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-93DE,CJK UNIFIED IDEOGRAPH-60D1,
U+0093F8,鏸,或,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-93F8,CJK UNIFIED IDEOGRAPH-6216,
U+009431,鐱,酷,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9431,CJK UNIFIED IDEOGRAPH-9177,
U+009445,鑅,婚,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9445,CJK UNIFIED IDEOGRAPH-5A5A,
U+009448,鑈,昏,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9448,CJK UNIFIED IDEOGRAPH-660F,
U+009592,閒,混,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9592,CJK UNIFIED IDEOGRAPH-6DF7,
U+00969D,隝,魂,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-969D,CJK UNIFIED IDEOGRAPH-9B42,
U+0096AF,隯,忽,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-96AF,CJK UNIFIED IDEOGRAPH-5FFD,
U+009733,霳,惚,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9733,CJK UNIFIED IDEOGRAPH-60DA,
U+00973B,霻,笏,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-973B,CJK UNIFIED IDEOGRAPH-7B0F,
U+009743,靃,哄,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9743,CJK UNIFIED IDEOGRAPH-54C4,
